"DBN","SCHOOL_NAME","BOROUGH","DISTRICT","ADDRESS","ZIPCODE","LATITUDE","LONGITUDE","COMMUNITY_SCHOOL","ECONOMIC_NEED_INDX","INCOME","PCT_ELL","PCT_ASIAN","PCT_BLACK","PCT_HISPANIC","PCT_WHITE","PCT_ATTENDANCE","PCT_ABSENCES","PCT_RIGOROUS","PCT_COLLABORATIVE","PCT_SUPPORTIVE","PCT_EFFECTIVE","PCT_FAMILY_TIES","PCT_TRUST","PCT_4S","PCT_4S_UNDRRP","PCT_4S_ECNDSV","SPHS_APPLICANTS","ELA_PROF","MATH_PROF","CLASS_SIZE","PTRATIO","PCT_FEMALE","SPHS_TESTERS","SPHS_OFFERS","SPHS_FEEDER"
"02M413","SCHOOL OF THE FUTURE HIGH SCHOOL","M",2,"127 E 22ND ST NEW YORK, NY 10010",10010,40.739095,-73.985349,"No",35.8,NA,1,15,11,29,37,97,6,88,96,88,91,76,92,33.75,0,5,103,3.05,3.21,25.9166666666667,15.3,47.7333333333333,46,15,1
"02M422","QUEST TO LEARN","M",2,"351 W 18TH ST NEW YORK, NY 10011",10011,40.743368,-74.002547,"No",40.6,NA,3,11,19,35,29,95,11,83,79,82,74,80,86,12.3456790123457,0,1.28205128205128,96,2.94,2.76,27.625,11.2,36.8600682593857,33,0,0
"02M442","BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE","M",2,"890 BROADWAY NEW YORK, NY 10003",10003,40.73854,-73.989485,"No",46.8,56095.12,0,36,25,16,19,96,7,98,98,92,94,84,95,25,0,5,25,3.21,3.65,22.3333333333333,15.4,49.645390070922,15,0,0
"02M655","LIFE SCIENCES SECONDARY SCHOOL","M",2,"320 E 96TH ST NEW YORK, NY 10128",10128,40.783283,-73.945937,"No",76.5,NA,6,5,31,60,2,90,30,90,90,77,67,65,81,0,0,0,22,2.24,1.95,18.3333333333333,12.4,51.219512195122,0,0,0
"02M896","LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL","M",2,"26 BROADWAY-6TH FL NEW YORK, NY 10004",10004,40.705442,-74.012888,"No",56.4,NA,8,40,9,20,27,96,8,84,93,90,95,85,96,30.5555555555556,0,16.6666666666667,129,2.77,2.88,32.9459459459459,12.9,52.7272727272727,70,8,1
"02M933","CITY KNOLL MIDDLE SCHOOL","M",2,"425 W 33RD ST NEW YORK, NY 10001",10001,40.753389,-73.997896,"No",61.3,NA,7,10,20,47,20,95,19,90,95,80,93,78,93,10.6666666666667,1.33333333333333,8,78,2.7,2.58,26.3333333333333,12.3,50,17,0,0
"03M054","J.H.S. 054 BOOKER T. WASHINGTON","M",3,"103 W 107TH ST NEW YORK, NY 10025",10025,40.800512,-73.962802,"No",22.1,NA,2,9,8,12,64,96,5,85,83,87,80,84,90,67.7290836653386,1.99203187250996,6.77290836653386,286,3.46,3.7,28.016393442623,17.2,49.6478873239437,257,150,1
"03M076","P.S. 076 A. PHILIP RANDOLPH","M",3,"220 W 121ST ST NEW YORK, NY 10027",10027,40.806541,-73.951368,"No",85,39051.13,9,1,80,16,3,90,42,91,95,93,89,89,96,4.65116279069767,4.65116279069767,4.65116279069767,59,2.39,2.24,23.8235294117647,14.7,52.3305084745763,0,0,0
"03M149","P.S. 149 SOJOURNER TRUTH","M",3,"41 W 117TH ST NEW YORK, NY 10026",10026,40.802666,-73.948256,"Yes",88.3,37110.83,9,3,64,27,2,91,37,83,70,77,60,81,82,0,0,0,27,2.1,2.03,19.72,9.5,50.2127659574468,0,0,0
"03M165","P.S. 165 ROBERT E. SIMON","M",3,"234 W 109TH ST NEW YORK, NY 10025",10025,40.802678,-73.96595,"No",73.9,48783.74,17,3,14,68,13,91,29,87,82,87,73,86,85,6.12244897959184,0,6.12244897959184,53,2.37,2.41,22.9666666666667,11.1,48.6754966887417,7,0,0
"03M180","P.S. 180 HUGO NEWMAN","M",3,"370 W 120TH ST NEW YORK, NY 10027",10027,40.807609,-73.955839,"No",69,51468.6,5,1,57,30,8,94,19,86,86,86,85,90,90,11.3207547169811,7.54716981132075,7.54716981132075,60,2.48,2.44,24.875,11.7,49.5412844036697,22,0,0
"03M191","P.S. 191 AMSTERDAM","M",3,"210 W 61ST ST NEW YORK, NY 10023",10023,40.771743,-73.987572,"No",75.8,63947.38,8,7,36,45,11,91,33,82,79,82,70,88,88,8,0,0,35,2.23,2.1,21.8571428571429,11.2,44.7674418604651,6,0,0
"03M243","M.S. 243 CENTER SCHOOL","M",3,"100 W 84TH ST-RM 310 NEW YORK, NY 10024",10024,40.785101,-73.973867,"No",18.1,NA,0,8,15,12,61,98,0,96,91,96,90,91,96,56.140350877193,3.50877192982456,0,57,3.61,3.57,38.7777777777778,17.1,52.7659574468085,38,14,1
"03M245","M.S. M245 THE COMPUTER SCHOOL","M",3,"100 W 77TH ST NEW YORK, NY 10024",10024,40.781081,-73.978085,"No",30.4,NA,3,6,14,26,50,97,6,90,92,91,85,86,95,33.0645161290323,2.41935483870968,4.83870967741935,133,3.17,3.14,26.1515151515152,15.6,52.5,70,19,1
"03M247","M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL","M",3,"32 W 92ND ST NEW YORK, NY 10025",10025,40.789382,-73.9681,"No",80.2,NA,31,0,1,99,1,96,7,89,93,92,88,88,95,3.17460317460317,0,3.17460317460317,64,2.51,2.64,21.6666666666667,9.5,55.0505050505051,12,0,0
"03M250","M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL","M",3,"735 W END AVE NEW YORK, NY 10025",10025,40.79511,-73.973988,"No",66.1,NA,6,2,32,55,9,94,18,91,98,91,97,82,96,9.61538461538462,1.92307692307692,3.84615384615385,60,2.61,2.44,26.7777777777778,10.7,44.9438202247191,0,0,0
"03M256","M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE","M",3,"154 W 93RD ST NEW YORK, NY 10025",10025,40.791685,-73.97077,"No",77.8,NA,19,2,51,38,7,88,38,83,89,80,87,83,91,8.51063829787234,2.12765957446809,4.25531914893617,48,2.27,2.1,20.8333333333333,8.4,50.7246376811594,11,0,0
"03M258","COMMUNITY ACTION SCHOOL - MS 258","M",3,"154 W 93RD ST NEW YORK, NY 10025",10025,40.791685,-73.97077,"No",73,NA,3,2,45,43,11,94,15,96,96,87,94,82,93,4.47761194029851,1.49253731343284,2.98507462686567,59,2.41,2.5,24.1081081081081,12,47.085201793722,11,0,0
"03M291","WEST END SECONDARY SCHOOL","M",3,"227-243 W 61ST ST NEW YORK, NY 10023",10023,40.772487,-73.988153,"No",NA,NA,2,4,10,18,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,NA,NA,26.0769230769231,14.4,57.8171091445428,31,6,1
"03M333","P.S. 333 MANHATTAN SCHOOL FOR CHILDREN","M",3,"154 W 93RD ST NEW YORK, NY 10025",10025,40.791685,-73.97077,"No",23.3,72112.72,1,7,11,17,62,95,9,93,87,88,79,94,91,32.6086956521739,0,6.52173913043478,50,3.09,3.03,25.9259259259259,16.5,50.730411686587,15,0,0
"03M334","THE ANDERSON SCHOOL","M",3,"100 W 77TH ST NEW YORK, NY 10024",10024,40.781081,-73.978085,"No",13.4,89026.73,0,28,4,9,53,98,1,90,90,92,87,93,92,81.9444444444444,0,5.55555555555556,76,3.93,4.15,29.3333333333333,20.5,49.5344506517691,75,58,1
"03M415","WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS","M",3,"215 W 114TH ST NEW YORK, NY 10026",10026,40.802284,-73.95408,"Yes",79.1,NA,5,2,53,44,1,93,23,86,77,82,71,77,82,0,0,0,16,2.04,1.99,18.25,8.4,67.6258992805755,0,0,0
"03M421","WEST PREP ACADEMY","M",3,"150 W 105TH ST NEW YORK, NY 10025",10025,40.79909,-73.965359,"No",76.7,NA,5,2,52,39,5,92,25,90,97,83,94,86,94,3.63636363636364,1.81818181818182,1.81818181818182,74,2.31,2.45,23.0857142857143,11.7,50.2463054187192,21,0,0
"03M859","SPECIAL MUSIC SCHOOL","M",3,"129 W 67TH ST NEW YORK, NY 10023",10023,40.775221,-73.982997,"No",25.3,76791.47,1,16,13,14,43,96,7,96,97,91,95,91,95,71.4285714285714,0,0,16,3.67,3.85,15.3333333333333,13.2,50.9554140127389,10,7,1
"03M860","FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL","M",3,"215 W 114TH ST NEW YORK, NY 10026",10026,40.802284,-73.95408,"No",78.6,NA,8,2,68,27,1,88,34,76,76,81,72,76,84,4.54545454545455,0,0,9,2.32,2.22,13,11.1,34.4632768361582,0,0,0
"03M862","MOTT HALL II","M",3,"234 W 109TH ST NEW YORK, NY 10025",10025,40.802678,-73.96595,"No",47.7,NA,2,6,26,37,26,96,8,83,95,89,93,84,95,24.0740740740741,3.7037037037037,7.40740740740741,122,3.11,3.23,26,16.1,46.7836257309941,64,12,1
"04M007","P.S. 007 SAMUEL STERN","M",4,"160 E 120TH ST NEW YORK, NY 10035",10035,40.800631,-73.939323,"No",89.9,24553.59,12,3,30,62,4,90,34,90,86,83,82,84,87,0,0,0,51,2.43,2.52,14.9473684210526,10.7,48.7394957983193,0,0,0
"04M012","TAG YOUNG SCHOLARS","M",4,"240 E 109TH ST NEW YORK, NY 10029",10029,40.79259,-73.942119,"No",43.5,48431.58,0,34,25,19,15,97,5,92,92,91,86,87,90,73.6842105263158,14.0350877192982,37.5,56,3.64,3.89,27.1428571428571,24.2,48.381601362862,54,27,1
"04M050","P.S. 050 VITO MARCANTONIO","M",4,"433 E 100TH ST NEW YORK, NY 10029",10029,40.785868,-73.940587,"Yes",89,30295.44,10,1,45,53,0,87,49,87,74,89,67,79,84,0,0,0,22,2.1,2.07,24.6666666666667,8.5,48.207171314741,7,0,0
"04M057","JAMES WELDON JOHNSON","M",4,"176 E 115TH ST NEW YORK, NY 10029",10029,40.797156,-73.941285,"No",88.5,26905.07,12,4,26,67,2,92,28,92,85,85,81,82,91,4.3956043956044,2.1978021978022,4.3956043956044,99,2.46,2.57,26.7894736842105,12,49.2665036674817,20,0,0
"04M072","THE LEXINGTON ACADEMY","M",4,"131 E 104TH ST NEW YORK, NY 10029",10029,40.791451,-73.947448,"No",86.6,33728.15,11,1,13,83,3,92,30,90,90,94,82,87,92,2.77777777777778,0,2.77777777777778,83,2.32,2.4,20.5111111111111,11.4,48.2258064516129,11,0,0
"04M096","P.S. 096 JOSEPH LANZETTA","M",4,"216 E 120TH ST NEW YORK, NY 10035",10035,40.799987,-73.937388,"No",90.2,25392.85,18,2,26,68,3,91,37,88,85,89,77,77,88,2.08333333333333,0,0,65,2.17,2.03,18.1944444444444,8.8,45.088161209068,0,0,0
"04M108","P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX","M",4,"1615 MADISON AVE NEW YORK, NY 10029",10029,40.795035,-73.947872,"No",84.3,27911.28,13,5,28,64,1,91,34,87,80,86,67,83,86,2.38095238095238,0,2.38095238095238,91,2.29,2.31,23,10.3,45.1327433628319,9,0,0
"04M171","P.S. 171 PATRICK HENRY","M",4,"19 E 103RD ST NEW YORK, NY 10029",10029,40.792304,-73.951449,"No",75.1,31078.32,3,5,25,63,4,94,19,92,83,95,71,87,89,26.3736263736264,2.1978021978022,16.4835164835165,92,2.85,3.08,34.4242424242424,15.2,51.8620689655172,43,0,0
"04M206","P.S. 206 JOSE CELSO BARBOSA","M",4,"508 E 120TH ST NEW YORK, NY 10035",10035,40.796906,-73.929978,"No",81.7,27376.45,14,4,26,61,6,93,25,83,85,85,80,82,91,3.27868852459016,0,3.27868852459016,47,2.36,2.54,19.1,5.9,42.4947145877378,17,0,0
"04M224","M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS","M",4,"410 E 100TH ST NEW YORK, NY 10029",10029,40.785027,-73.942008,"No",70.8,NA,2,5,36,51,7,93,23,88,88,86,80,79,88,11.9047619047619,4.76190476190476,2.38095238095238,55,2.64,2.7,24.4666666666667,13.9,47.093023255814,14,0,0
"04M372","ESPERANZA PREPARATORY ACADEMY","M",4,"240 E 109TH ST NEW YORK, NY 10029",10029,40.79259,-73.942119,"No",83.6,NA,28,1,15,82,2,91,35,87,77,84,72,77,85,1.35135135135135,0,1.35135135135135,71,2.19,2.08,19.4285714285714,11.6,47.5849731663685,0,0,0
"04M377","RENAISSANCE SCHOOL OF THE ARTS","M",4,"319 E 117TH ST NEW YORK, NY 10035",10035,40.797495,-73.936193,"Yes",86.5,NA,10,1,45,53,1,90,32,89,93,88,89,90,95,6.12244897959184,2.04081632653061,4.08163265306122,53,2.32,2.15,21.3823529411765,8.8,63.265306122449,6,0,0
"04M406","GLOBAL TECHNOLOGY PREPARATORY","M",4,"160 E 120TH ST NEW YORK, NY 10035",10035,40.800631,-73.939323,"No",85,NA,11,3,40,56,1,95,15,89,99,88,96,81,94,2.4390243902439,0,0,48,2.27,2.36,12.4406779661017,12.6,38.4,0,0,0
"04M610","YOUNG WOMEN'S LEADERSHIP SCHOOL","M",4,"105 E 106TH ST NEW YORK, NY 10029",10029,40.792935,-73.947168,"No",72.2,NA,2,9,25,60,4,95,16,90,97,87,92,72,94,14.2857142857143,0,0,50,2.69,2.54,25.0294117647059,15.6,100,8,0,0
"04M825","ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE","M",4,"260 PLEASANT AVE NEW YORK, NY 10029",10029,40.794167,-73.932694,"No",84.2,NA,9,5,29,64,1,93,23,84,87,85,84,80,92,6.66666666666667,2.66666666666667,6.66666666666667,55,2.24,2.15,20.2549019607843,12.1,44.7916666666667,20,0,0
"04M964","CENTRAL PARK EAST II","M",4,"19 E 103 ST NEW YORK, NY 10029",10029,40.792304,-73.951449,"No",46,42839.62,1,6,29,31,25,93,18,95,98,97,98,94,97,NA,NA,NA,30,2.96,3.08,26.6,12.8,50.8928571428571,6,0,0
"05M046","P.S. 046 ARTHUR TAPPAN","M",5,"2987 FREDERICK DOUGLAS BLVD NEW YORK, NY 10039",10039,40.831496,-73.936154,"No",90.3,23035.78,9,1,50,48,1,90,39,91,89,85,81,80,90,5.17241379310345,0,0,67,2.19,2.19,20.4864864864865,11.5,51.1346444780635,8,0,0
"05M123","P.S. 123 MAHALIA JACKSON","M",5,"301 W 140TH ST NEW YORK, NY 10030",10030,40.820192,-73.944457,"Yes",83.5,34752.53,17,2,52,41,4,88,49,83,72,84,65,82,81,0,0,0,54,2.11,2,21.7894736842105,9.6,46.972860125261,0,0,0
"05M129","P.S. 129 JOHN H. FINLEY","M",5,"425 W 130TH ST NEW YORK, NY 10027",10027,40.814981,-73.952121,"No",85.4,31077.89,11,2,42,51,1,92,33,90,91,82,76,81,89,0,0,0,55,2.38,2.29,21.2307692307692,13.2,44.5977011494253,21,0,0
"05M148","EAGLE ACADEMY FOR YOUNG MEN OF HARLEM","M",5,"6 EDGECOMBE AVE NEW YORK, NY 10030",10030,40.817282,-73.947238,"No",74.7,NA,3,0,74,24,1,88,47,92,91,83,91,82,90,4.16666666666667,4.16666666666667,4.16666666666667,57,2.26,2.02,19.9615384615385,10.8,0,10,0,0
"05M161","P.S. 161 PEDRO ALBIZU CAMPOS","M",5,"499 W 133RD ST NEW YORK, NY 10027",10027,40.817721,-73.952459,"No",87.5,29854.02,27,3,18,77,1,91,35,89,89,85,79,86,90,4,0,3,122,2.28,2.38,23,11.9,48.9260143198091,16,0,0
"05M286","URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS","M",5,"509 W 129TH ST NEW YORK, NY 10027",10027,40.815745,-73.9556,"No",81.7,NA,6,0,59,39,1,87,42,92,86,90,76,78,86,0,0,0,82,2.12,1.92,21.7,10.7,50.887573964497,15,0,0
"05M302","KAPPA IV","M",5,"6 EDGECOMBE AVE NEW YORK, NY 10030",10030,40.817282,-73.947238,"No",85.2,NA,14,6,53,39,1,90,35,77,81,81,69,83,84,0,0,0,44,2.16,1.89,16.375,8.4,49.645390070922,0,0,0
"05M362","COLUMBIA SECONDARY SCHOOL","M",5,"425 W 123RD ST NEW YORK, NY 10027",10027,40.81064,-73.955847,"No",50.7,NA,0,12,21,44,20,98,1,87,92,88,90,84,93,70.7865168539326,17.9775280898876,21.3483146067416,97,3.47,3.73,25.9,15.9,51.7094017094017,42,23,1
"05M499","FREDERICK DOUGLASS ACADEMY","M",5,"2581 7TH AVE NEW YORK, NY 10039",10039,40.824398,-73.936545,"No",70.8,NA,3,1,71,23,2,93,22,89,86,79,75,78,85,5.47945205479452,4.10958904109589,5.47945205479452,87,2.41,2.24,23.1923076923077,17.6,46.6568699485672,13,0,0
"05M514","NEW DESIGN MIDDLE SCHOOL","M",5,"625 W 133RD ST NEW YORK, NY 10031",10031,40.819764,-73.95724,"No",88.1,NA,11,1,52,43,3,91,27,83,79,81,75,78,87,0,0,0,66,2.08,1.94,18.7659574468085,7.2,54.6153846153846,11,0,0
"05M670","THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE","M",5,"200-214 W 135TH ST NEW YORK, NY 10030",10030,40.815297,-73.944304,"No",73.2,NA,3,1,74,23,0,96,5,79,90,79,82,74,91,4.16666666666667,0,4.16666666666667,58,2.47,2.27,27.1071428571429,13.8,54.2961608775137,10,0,0
"06M018","P.S. 018 PARK TERRACE","M",6,"4124 9TH AVE NEW YORK, NY 10034",10034,40.871646,-73.911618,"No",82.3,44006.21,44,0,1,97,2,93,23,92,87,86,79,85,90,5,0,2.5,52,2.1,2.36,16,12.9,46.742209631728,6,0,0
"06M052","J.H.S. 052 INWOOD","M",6,"650 ACADEMY ST NEW YORK, NY 10034",10034,40.865914,-73.925157,"No",82.4,NA,32,0,4,93,2,93,23,85,91,83,85,91,90,1.58730158730159,0,1.58730158730159,121,2.3,2.22,22.0833333333333,10.4,46.0674157303371,13,0,0
"06M143","J.H.S. 143 ELEANOR ROOSEVELT","M",6,"511 W 182ND ST NEW YORK, NY 10033",10033,40.849099,-73.931106,"No",84.9,NA,52,0,1,96,3,91,24,82,83,81,78,76,86,1.96078431372549,0,0.980392156862745,109,2.12,2.06,19.4838709677419,9.5,37.7358490566038,17,0,0
"06M187","P.S./I.S. 187 HUDSON CLIFFS","M",6,"349 CABRINI BLVD NEW YORK, NY 10040",10040,40.856137,-73.937295,"No",40.6,68615.55,7,2,3,58,34,95,11,91,91,88,82,90,89,10.2272727272727,0,3.40909090909091,103,2.84,2.98,25.7272727272727,16,51.063829787234,36,0,0
