"DISTRICT","ZIPCODE","LATITUDE","LONGITUDE","ECONOMIC_NEED_INDX","INCOME","PCT_ELL","PCT_ASIAN","PCT_BLACK","PCT_HISPANIC","PCT_WHITE","PCT_ATTENDANCE","PCT_ABSENCES","PCT_RIGOROUS","PCT_COLLABORATIVE","PCT_SUPPORTIVE","PCT_EFFECTIVE","PCT_FAMILY_TIES","PCT_TRUST","PCT_4S_UNDRRP","PCT_4S_ECNDSV","SPHS_APPLICANTS","ELA_PROF","MATH_PROF","CLASS_SIZE","PTRATIO","PCT_FEMALE","SPHS_TESTERS","SPHS_OFFERS","SPHS_FEEDER"
21,11224,40.58241,-73.972436,70.3,38628.9203738715,11,21,12,34,33,93,23,87,83,88,76,74,86,0,8.57142857142857,184,2.64,2.74,26.1954022988506,17.2,50.1858736059479,38,5,0
4,10029,40.795537,-73.944526,74.1,30585.6,3,3,56,38,1,87,30,93,96,88,90,88,96,6.06060606060606,12.1212121212121,22,2.91,2.94,23.3715041690001,14.6104694688817,48,7,1,0
31,10312,40.544369,-74.197201,20.7,89021.7466549783,1,9,1,10,79,95,12,92,94,85,90,74,92,0,9.25925925925926,431,3.05,3.16,26.4038461538462,13,48.7964989059081,153,44,0
15,11217,40.683835,-73.980355,24.4,80653.1256120836,0,8,17,20,52,96,7,87,92,87,91,88,93,2.48447204968944,7.45341614906832,179,3.42,3.6,29.3333333333333,11.4,47.5378787878788,134,79,0
10,10463,40.887701,-73.913605,41.8,67914.5469265426,7,7,10,56,26,94,13,84,81,82,75,75,86,1.31578947368421,5.72687224669604,252,2.74,2.93,26.8698630136986,15.3,49.8347653668209,75,12,0
13,11205,40.697012,-73.976044,78.2,32174.0463243243,5,2,73,23,0,91,36,86,85,81,85,79,87,0,0,37,2.24,2.08,18.375,11.1,58.6486486486486,0,0,1
9,10456,40.833708,-73.903937,92.9,26378.8337727273,31,1,37,61,1,90,35,82,66,81,63,70,79,0,0,107,1.98,1.92,18.8080808080808,8.9,43.4659090909091,7,0,1
9,10456,40.832272,-73.905817,82.5,24172.46,11,0,68,31,1,94,24,93,90,88,88,88,93,9.375,4.6875,69,2.5,2.85,23.3173423934118,13.1562609905364,53.6764705882353,24,3,0
18,11236,40.644044,-73.892737,55.7,62871.1553333333,1,1,90,6,1,96,10,96,98,93,96,89,96,3.84615384615385,5.12820512820513,90,2.49,2.88,22.7546043391111,13.7933486341182,48.8888888888889,21,1,0
8,10473,40.815017,-73.856018,72.3,45601.1908862974,7,8,32,58,1,93,24,81,78,80,66,71,83,3.84615384615385,6.41025641025641,97,2.46,2.39,21.4117647058824,12.9,40.2332361516035,30,2,0
23,11212,40.665297,-73.917884,58.9,39170.8966502311,0,5,77,15,1,96,12,97,98,85,94,76,94,15.9090909090909,17.0454545454545,94,3.05,2.94,22.4262295081967,12.4,59.6610169491525,46,10,0
30,11105,40.771319,-73.924184,56.1,8876.24675949368,3,34,6,43,16,97,6,90,95,91,78,74,87,0,16.4556962025316,84,2.88,2.88,33.8620689655172,16.3,100,29,7,0
16,11233,40.681708,-73.935722,75.1,43659.7602857143,1,1,85,14,0,92,28,97,97,93,92,94,96,2,2,81,2.41,2.39,26.7659574468085,14.4,54.2857142857143,27,1,0
21,11204,40.608043,-73.984972,73,39574.5309654196,29,33,11,28,27,93,21,90,93,85,89,74,93,0,4.63917525773196,261,2.45,2.58,23.4774193548387,12.4,49.5507060333761,114,12,0
29,11422,40.659983,-73.734434,54.5,79063.05,4,3,84,8,2,94,19,86,86,79,82,81,87,2.02020202020202,2.02020202020202,102,2.27,2.16,24.2857142857143,14.6,46.9200524246396,10,0,1
8,10474,40.815594,-73.885238,77.9,27967.11,8,0,34,65,1,95,9,82,84,84,81,88,90,0,0,78,2.41,2.53,24.5773682858189,13.1154577751168,51.440329218107,19,0,1
10,10457,40.850163,-73.891656,86.4,25544.48,10,2,29,68,0,91,37,97,90,87,83,83,91,0,0,49,2.35,2.54,22.6,15.8,52.5862068965517,13,1,0
26,11426,40.744184,-73.727581,30.2,73222.68,1,9,75,13,1,96,6,94,93,88,84,83,91,12.5,8.75,102,2.86,2.92,28.06,14.3,50.7779349363508,28,5,0
4,10029,40.796046,-73.944549,72,32322.71,4,1,61,34,2,0,100,94,94,88,87,92,92,40.5940594059406,31.6831683168317,69,3.29,3.89,18.3916961695105,14.9947701581784,50.210970464135,29,19,0
14,11206,40.709765,-73.944519,84.3,38340.6342903226,11,1,40,56,1,88,39,85,95,84,92,84,93,0,0,72,2.11,1.89,19.7428571428571,10.7,45.7661290322581,6,0,1
27,11691,40.595904,-73.781257,89.7,26636.28,4,3,66,28,2,91,37,85,86,82,76,80,88,2.40963855421687,2.40963855421687,82,2.21,2.22,19.5625,12.3,47.7300613496933,7,0,1
3,10025,40.791685,-73.97077,77.8,36794.2488233117,19,2,51,38,7,88,38,83,89,80,87,83,91,2.12765957446809,4.25531914893617,48,2.27,2.1,20.8333333333333,8.4,50.7246376811594,11,1,0
3,10023,40.771743,-73.987572,75.8,63947.38,8,7,36,45,11,91,33,82,79,82,70,88,88,0,0,35,2.23,2.1,21.8571428571429,11.2,44.7674418604651,6,0,1
15,11201,40.685159,-73.993634,71,47579.0681012658,11,5,43,34,16,95,13,83,85,73,79,71,80,0,0,99,2.14,2.01,26.8333333333333,14,44.7784810126582,32,0,1
27,11691,40.603951,-73.749868,73.8,52531.6570001031,15,1,61,37,1,90,37,88,86,88,76,76,89,0.917431192660551,0,120,2.14,2.03,17.2164948453608,8.9,35.5805243445693,16,0,1
23,11233,40.682247,-73.916696,80.7,35419.93,3,0,74,20,1,88,43,93,90,85,80,87,92,0,0,32,2.27,2.38,18.7777777777778,10.8,51.8151815181518,9,0,1
27,11420,40.675063,-73.816692,55,55933.4014717253,6,24,39,16,1,93,21,81,71,82,55,70,79,1.7921146953405,5.01792114695341,331,2.37,2.34,25.4422110552764,17.2,48.3624454148472,58,4,0
11,10461,40.856635,-73.843042,64.8,36726.4,3,3,62,31,3,95,12,93,93,79,86,80,87,8.33333333333333,0,29,2.55,2.83,23.8083181993344,13.7317141469106,49.2260061919505,17,2,0
5,10039,40.824398,-73.936545,70.8,45774.1411276358,3,1,71,23,2,93,22,89,86,79,75,78,85,4.10958904109589,5.47945205479452,87,2.41,2.24,23.1923076923077,17.6,46.6568699485672,13,1,0
22,11210,40.636004,-73.933149,73.8,55488.67,6,2,80,15,3,93,23,85,84,82,81,83,88,5.47945205479452,5.47945205479452,101,2.32,2.2,23.0909090909091,14.3,47.2834067547724,12,1,0
24,11379,40.719517,-73.875034,34.8,67367.55,7,16,0,25,57,96,9,92,93,88,86,81,94,0,9.09090909090909,133,2.97,3.09,31.1607142857143,16.9,49.9137931034483,43,11,0
18,11203,40.654737,-73.940641,52,48361.64,1,2,93,2,2,95,11,92,94,86,90,83,93,0,27.6785714285714,91,3.05,3.1,28,17.5,54.3859649122807,89,30,0
31,10304,40.602835,-74.091981,33.4,72831.32,6,17,4,18,59,95,10,94,93,88,92,87,94,0,7.77777777777778,118,3.04,3.25,33.6818181818182,16.2,49.8470948012232,70,19,0
11,10462,40.838494,-73.853201,71.6,41306.3879254877,18,31,23,41,4,94,17,90,93,84,89,76,93,1.4218009478673,5.21327014218009,285,2.49,2.62,25.2137404580153,13.9,50.2481389578164,133,13,0
20,11228,40.626227,-74.014758,62.2,53089.6955766817,11,45,1,22,32,96,12,95,96,89,91,69,94,0,27.4864376130199,580,2.92,3.28,32.0391061452514,17.2,46.3822894168467,309,119,0
23,11212,40.666247,-73.91127,86,27808.12,3,1,78,20,0,90,38,96,95,88,86,86,93,0,0,70,2.32,2.25,22.6315789473684,19.3,53.427065026362,10,0,1
17,11213,40.672706,-73.92893,79.7,32470.47,4,6,77,15,1,92,24,89,86,83,80,82,85,1.75438596491228,0,56,2.35,2.21,21.2,13.7,56.8134171907757,12,0,1
19,11207,40.663784,-73.893259,69.3,35515.31,1,0,82,16,0,98,2,91,91,86,84,89,89,0,25,60,2.69,2.95,24.2710641899015,15.0513127599065,54.1809851088202,25,8,0
32,11207,40.686658,-73.910178,82.4,37020.6,14,2,48,47,1,90,37,90,89,95,78,85,94,2.94117647058824,1.47058823529412,63,2.4,2.49,20.9,13.9,51.3950073421439,24,1,0
1,10003,40.729892,-73.984231,79.1,38771.3564874214,6,8,29,55,4,90,35,84,78,81,80,74,87,0,2.08333333333333,51,2.29,2,20.6,8.7,45.2830188679245,11,0,1
2,10282,40.716867,-74.013623,31.3,74044.7182282096,1,38,8,13,38,97,2,91,97,82,95,84,93,0,9.375,91,3.18,3.26,31.3888888888889,14.7,47.3498233215548,47,15,0
12,10456,40.827387,-73.900529,83.2,31169.4968531998,10,1,32,65,1,93,23,85,89,83,83,81,90,0.87719298245614,0,110,2.23,2.48,22.7556546215708,12.361048272588,53.4704370179949,7,0,1
5,10030,40.820192,-73.944457,83.5,34752.53,17,2,52,41,4,88,49,83,72,84,65,82,81,0,0,54,2.11,2,21.7894736842105,9.6,46.972860125261,0,0,1
11,10466,40.886043,-73.840576,70.2,51744.3505714286,5,1,68,27,1,93,26,85,83,89,80,80,84,0,1.0989010989011,107,2.25,2.52,27.5,12.4,43,15,0,1
5,10030,40.815297,-73.944304,73.2,36552.0446843388,3,1,74,23,0,96,5,79,90,79,82,74,91,0,4.16666666666667,58,2.47,2.27,27.1071428571429,13.8,54.2961608775137,10,0,1
9,10453,40.848521,-73.908447,81.6,-5219.57642424243,5,2,39,58,1,94,17,94,98,86,98,84,94,0,7.57575757575758,76,2.68,2.8,34,14.1,100,30,3,0
19,11239,40.646471,-73.881132,66.9,50875.0824049931,2,2,69,26,3,92,30,81,85,82,80,77,87,1.94174757281553,3.88349514563107,110,2.49,2.3,23.6813186813187,15.9,45.1428571428571,21,1,0
10,10467,40.876823,-73.88124,82.7,35210.8463744244,31,13,13,67,5,89,38,87,79,81,70,74,84,0.454545454545455,4.09090909090909,232,2.16,2.07,25.6082474226804,13.2,44.4283646888567,51,2,0
4,10035,40.799987,-73.937388,90.2,25392.85,18,2,26,68,3,91,37,88,85,89,77,77,88,0,0,65,2.17,2.03,18.1944444444444,8.8,45.088161209068,0,0,1
12,10460,40.845682,-73.886532,84.1,36310.5534185464,9,2,30,65,2,94,19,92,93,86,89,80,94,1.76991150442478,5.26315789473684,128,2.43,2.52,25.8641975308642,13.9,42.8571428571429,34,2,0
18,11236,40.642544,-73.90803,53.8,57512.74,4,1,90,5,0,96,10,83,81,78,79,84,87,3.44827586206897,3.44827586206897,64,2.28,2.5,22.5588135956471,12.7030426247301,49.0808823529412,23,1,0
21,11214,40.594445,-73.993819,63.1,50540.8925307016,16,38,7,22,31,94,19,81,78,81,65,69,81,0,15.4269972451791,408,2.72,2.97,26.72,18.3,45.0524737631184,171,33,0
8,10465,40.827214,-73.829212,48.9,50155.9908291956,1,14,10,56,20,95,15,89,86,88,85,73,89,0,18.9542483660131,147,2.89,2.74,25.0238095238095,13.9,53.2319391634981,66,21,0
11,10461,40.856635,-73.843042,65.4,38268.68,0,2,61,33,1,95,33,96,98,87,91,90,95,33.3333333333333,33.3333333333333,33,3,3.52,23.17589112,15.367203777716,52.8125,29,16,0
3,10025,40.79909,-73.965359,76.7,41389.2694249888,5,2,52,39,5,92,25,90,97,83,94,86,94,1.81818181818182,1.81818181818182,74,2.31,2.45,23.0857142857143,11.7,50.2463054187192,21,1,0
2,10038,40.710448,-73.997001,72.8,38919.61,17,59,11,21,8,96,10,91,93,91,89,82,95,0,27.8846153846154,112,2.93,3.29,28.4262295081967,14.5,46.0459183673469,66,28,0
28,11433,40.696913,-73.786396,42.8,60519.5582122954,1,29,51,10,1,96,7,90,91,88,83,78,91,6.59340659340659,10.989010989011,94,2.92,3.13,31.7777777777778,20.5,56.0371517027864,21,3,0
16,11213,40.675732,-73.935082,74.8,41568.5193686534,3,0,83,15,1,95,13,80,83,80,84,78,87,3.33333333333333,1.11111111111111,110,2.16,2.2,23.0153733475761,11.8533629781587,48.3443708609272,27,1,0
7,10456,40.818906,-73.905333,88.2,28411.4075544697,23,0,26,72,1,90,37,82,92,75,92,75,91,0,1.14942528735632,84,2.14,1.97,18.7884615384615,9.3,48.582995951417,9,0,1
31,10301,40.634527,-74.097992,71.7,37720.1325331019,9,5,34,44,16,91,29,81,85,81,75,74,86,1.62162162162162,1.62162162162162,325,2.45,2.32,23.1421568627451,13.4,54.5361875637105,40,2,0
28,11432,40.713395,-73.797066,54.9,55620.1489734135,9,27,51,15,3,95,13,86,83,83,72,72,84,3.7037037037037,8.64197530864197,76,2.47,2.53,22.7291666666667,13.3,48.5842026825633,24,2,0
24,11373,40.737757,-73.887429,64.3,46175.1003397327,16,44,2,52,2,96,10,82,82,83,76,68,90,0.175131348511384,12.6079447322971,629,2.84,2.99,24.6283783783784,14.5,48.8876529477197,264,63,0
23,11212,40.668975,-73.917872,75.8,33699.66,1,1,87,11,0,95,9,85,87,86,84,83,92,4.81927710843374,2.40963855421687,111,2.48,2.65,23.9070352157768,13.778938120446,52.1359223300971,24,1,0
17,11213,40.672272,-73.937164,79.2,34070.0980426721,11,3,78,13,3,92,27,99,97,96,95,88,98,9.67741935483871,11.2903225806452,71,2.69,2.64,20.2678571428571,9.6,51.9685039370079,18,3,0
1,10002,40.719128,-73.983283,84.9,34889.24,14,5,13,78,3,93,27,94,91,85,87,83,93,0,2.17391304347826,67,2.21,2.27,22.3714285714286,12.1,49.0566037735849,6,0,1
6,10034,40.869008,-73.920884,76.4,44087.9679120476,14,0,6,93,1,94,13,84,86,84,83,82,91,0,1.69491525423729,120,2.31,2.43,24.3011149374415,12.6236087476807,46.0585585585586,20,0,1
10,10453,40.857969,-73.903757,86.8,26738.54,16,1,16,82,1,94,19,95,93,80,90,87,89,0,0,30,2.46,2.61,20.6842105263158,18.2,48.995983935743,12,2,0
23,11212,40.66798,-73.912085,85.1,32208.89,9,2,71,25,2,88,47,90,82,77,65,73,76,0,2.22222222222222,28,2.17,1.98,18.8725840856881,11.6779018952501,49.5412844036697,9,0,1
23,11233,40.678113,-73.915211,68.5,85552.4192857143,1,1,90,8,1,92,23,87,87,85,86,82,93,5.35714285714286,3.57142857142857,87,2.27,2.3,27.2444444444444,15,0,12,1,0
13,11216,40.678907,-73.9465,68.9,52376.9860121951,2,1,78,19,1,91,33,84,88,75,85,85,92,0,4.8780487804878,67,2.23,2.1,17.4848484848485,10,44.375,8,0,1
23,11212,40.655763,-73.906685,79.2,33307.62,1,0,84,14,0,96,10,90,88,83,83,87,89,6.94444444444444,8.33333333333333,75,2.62,3.25,22.9269688156658,14.7438590758613,53.0799475753604,31,3,0
26,11361,40.758543,-73.77397,25.8,82366.1734766734,4,66,5,10,18,98,4,85,87,85,87,73,88,0.272479564032698,20.855614973262,416,3.29,3.58,27.7824427480916,17.3,49.6551724137931,233,123,0
6,10031,40.828615,-73.945402,83.8,28025.5431821321,11,0,4,96,0,96,10,84,89,84,78,78,89,0,5.31914893617021,101,2.37,2.38,24.259749150288,13.4652231164377,53.2722513089005,0,0,1
11,10475,40.864136,-73.82396,56.7,54266.0186666667,3,1,73,24,1,95,13,80,83,81,83,75,89,3.33333333333333,2.22222222222222,87,2.44,2.52,25.1240354320001,12.8838764255976,52.5,31,1,0
24,11373,40.737333,-73.866404,68.8,27835.8044045768,7,19,10,67,3,97,4,88,77,82,73,77,87,3.92156862745098,26.4705882352941,86,2.86,3.21,25.9403828663865,15.5688104773207,56.1097256857855,41,14,0
13,11205,40.695143,-73.977889,36.2,61778.93,2,4,33,16,39,100,0,91,93,86,89,97,93,0,0,55,2.86,2.86,26.5691919910001,14.4210165958063,50,16,2,0
5,10027,40.806558,-73.944012,70.8,42435.6605306578,4,0,80,18,1,96,11,80,89,80,86,83,92,10.1449275362319,11.5942028985507,56,2.31,2.66,23.1568412135214,12.7138944945728,48.8247863247863,8,1,0
3,10024,40.781081,-73.978085,13.4,89026.73,0,28,4,9,53,98,1,90,90,92,87,93,92,0,5.55555555555556,76,3.93,4.15,29.3333333333333,20.5,49.5344506517691,75,61,0
2,10044,40.763969,-73.948468,29.3,93388.06,7,29,16,14,36,95,10,93,95,89,88,89,92,0,4,21,2.9,3.01,21.5333333333333,15.5,50.974025974026,6,0,1
8,10455,40.815971,-73.901686,76.4,29665.65,5,0,33,64,1,95,14,90,95,89,88,90,94,0,8.08080808080808,94,2.67,2.87,27.0639254936667,14.7856501295146,98.2587064676617,40,4,0
9,10456,40.828111,-73.917661,86,32738.7455214946,20,2,26,70,1,92,29,96,98,95,98,84,98,1.35135135135135,6.75675675675676,155,2.58,2.71,25.7183098591549,11.3,46.3087248322148,35,3,0
10,10463,40.87984,-73.910788,75.2,69064.16,15,2,23,72,2,92,33,93,92,85,86,88,92,0,3.125,70,2.37,2.55,21.6060606060606,15.9,45.6656346749226,6,0,1
11,10462,40.845031,-73.857976,59.3,41991.37,8,5,29,62,2,94,19,99,97,97,92,76,96,0,17.6470588235294,33,2.99,3.36,24.974540422,15.4877933626046,58.4375,31,8,0
18,11236,40.647417,-73.891766,53.4,62202.4362611407,2,1,92,7,1,95,13,85,81,78,77,81,84,3.65853658536585,2.4390243902439,137,2.47,2.37,22.1463414634146,11.2,48.8721804511278,42,2,0
25,11366,40.724191,-73.80937,44.3,65883.3925833333,2,40,17,23,18,96,9,81,87,85,82,73,89,0,2.7027027027027,76,2.8,2.8,27.4444444444444,12.2,49.8263888888889,23,2,0
8,10456,40.822303,-73.906686,82.3,40201.7523325527,22,0,41,57,1,88,45,84,89,87,85,80,92,0,1.63934426229508,78,1.97,1.95,22.02,9.5,42.8571428571429,0,0,1
1,10002,40.719935,-73.991656,70.7,10268.7336852501,7,22,24,52,2,95,15,0,0,0,0,0,0,0,13.6986301369863,71,2.37,2.85,24.539097722907,13.0013851278033,46.5116279069767,27,4,0
20,11204,40.628989,-73.979862,80,40627.41,30,20,2,52,26,94,16,90,89,89,78,81,90,0,6.38297872340426,67,2.46,2.59,21.952380952381,12.6,52.437223042836,14,2,0
5,10027,40.810854,-73.956339,74.6,38049.9480919925,4,1,56,41,1,95,14,87,90,80,90,88,92,12.1212121212121,21.2121212121212,68,2.54,2.78,24.1305341199935,13.3714475786174,48.1040086673889,18,4,0
29,11413,40.681888,-73.753044,46.8,66761.9399537168,2,1,91,5,1,93,20,94,87,81,79,78,85,3.65853658536585,3.04878048780488,196,2.38,2.3,25.6336633663366,17.4,49.4880546075085,56,2,0
30,11106,40.766101,-73.929913,70.7,48302.1818476884,12,25,15,49,10,94,20,90,97,91,93,81,96,1.64835164835165,13.2596685082873,181,2.46,2.51,24.4,13.8,44.3768996960486,59,9,0
28,11434,40.675061,-73.77561,57.8,63688.8875939033,2,9,77,8,1,94,19,91,99,91,98,85,98,4.3010752688172,4.3010752688172,109,2.37,2.44,22.8709677419355,11,43.042071197411,27,1,0
20,11204,40.634787,-73.981631,71,-1194.10362318841,10,47,21,19,12,94,21,87,89,88,85,73,90,3.03030303030303,11.5942028985507,77,2.66,2.58,24.5416666666667,12.3,100,24,3,0
19,11208,40.670064,-73.874556,85.7,29072.3397444506,22,20,36,43,1,89,41,87,85,82,80,79,89,0,5.51181102362205,144,2.16,2.14,18.9368421052632,14.3,48.8997555012225,23,2,0
3,10026,40.801651,-73.955295,75.8,46816.8416619718,9,1,56,42,0,93,22,79,69,79,70,77,82,0,0,71,2.13,2.01,22.9692663250282,11.051700661733,41.5492957746479,12,0,1
17,11203,40.662087,-73.936458,57,44077.39,0,0,95,4,0,98,1,84,84,81,77,85,85,0,17.4418604651163,80,2.59,2.93,24.081743059922,14.7794483936712,52.0225776105362,49,13,0
17,11225,40.663676,-73.949034,71.3,44384.413591616,6,1,84,10,1,93,21,85,78,82,70,86,81,4.70588235294118,5.09803921568627,274,2.36,2.32,23.6803278688525,14.8,51.5862068965517,96,6,0
23,11212,40.655763,-73.906685,69.7,42366.7772631579,1,1,90,8,1,94,16,94,83,85,83,77,89,5.76923076923077,5.76923076923077,77,2.51,2.32,20.5909090909091,16,51.7543859649123,20,1,0
7,10454,40.813507,-73.920477,87.2,24882.3764157815,8,1,24,72,2,93,21,89,92,89,87,74,91,0,0,97,2.25,2.39,18.2911392405063,12.7,54.4764795144158,8,0,1
24,11373,40.743204,-73.871482,78.6,36056.4841567379,18,4,1,94,1,98,1,98,98,89,96,80,96,0,0,120,2.47,2.54,27.1284403669725,14.5,50.4774897680764,16,1,0
21,11235,40.583765,-73.954016,44.5,57504.2007863268,1,27,3,10,59,96,8,94,96,89,91,70,94,1.02669404517454,33.4702258726899,494,3.47,3.8,32.2122302158273,22.8,54.7058823529412,372,231,0
23,11212,40.666247,-73.91127,80,42071.893718593,1,0,81,16,1,92,31,96,99,92,97,86,96,0,0,69,2.26,2.35,19.4081632653061,11.1,47.2361809045226,10,0,1
12,10456,40.827387,-73.900529,83.5,33935.8642990586,12,2,21,77,0,94,13,93,97,91,96,87,96,0,0,83,2.34,2.33,19.0185185185185,12.4,47.3229706390328,0,0,1
21,11204,40.622876,-73.978774,68.2,47519.85,18,18,3,42,35,95,14,93,94,87,91,83,94,0,4.34782608695652,31,2.68,2.95,21,6.8,46.1309523809524,7,1,0
24,11368,40.742087,-73.862808,74.8,40605.8935495979,28,6,3,89,1,95,14,85,85,87,78,74,90,0.294550810014728,5.45454545454545,716,2.37,2.43,23.6666666666667,14,46.0232350312779,93,6,0
27,11694,40.586666,-73.823435,55.1,56756.9480286954,2,7,49,28,13,95,14,94,96,88,90,77,94,1.23456790123457,1.23456790123457,96,2.63,2.47,26.1428571428571,13.6,53.3783783783784,15,0,1
27,11692,40.594435,-73.794945,82.5,47183.73,4,1,71,24,2,88,48,90,86,90,77,84,89,0,0,56,2.03,1.99,16.203125,10.8,47.7203647416413,0,0,1
6,10033,40.849099,-73.931106,84.9,39958.135590825,52,0,1,96,3,91,24,82,83,81,78,76,86,0,0.980392156862745,109,2.12,2.06,19.4838709677419,9.5,37.7358490566038,17,0,1
30,11102,40.766708,-73.923052,67.6,48729.9221810467,99,22,1,61,15,96,11,93,96,96,92,84,96,0,4.28571428571429,49,1.91,2.34,13.675,8.3,50.4950495049505,6,0,1
22,11235,40.593516,-73.938193,70.8,44926.1163627608,18,11,48,17,24,92,29,86,91,80,86,71,92,1.81818181818182,7.86516853932584,213,2.32,2.41,21.4923076923077,12.4,42.8571428571429,41,3,0
19,11207,40.671887,-73.893453,84.8,26589.280149792,10,12,52,33,1,91,29,79,79,81,72,72,85,6.31067961165049,15.0485436893204,209,2.39,2.44,22.8450704225352,13.7,47.6190476190476,81,13,0
2,10075,40.770203,-73.95073,27.1,75387.0865150215,1,11,11,30,42,96,9,99,99,88,99,92,98,0,8,82,3.13,3.59,25.8888888888889,11.9,49.7854077253219,42,18,0
16,11221,40.691396,-73.93314,88.4,27485.999139333,3,0,66,32,1,90,36,95,99,92,97,86,97,4.54545454545455,4.54545454545455,81,2.37,2.29,16.1323529411765,10.2,52.2613065326633,9,1,0
5,10031,40.819764,-73.95724,88.1,25527.4629230769,11,1,52,43,3,91,27,83,79,81,75,78,87,0,0,66,2.08,1.94,18.7659574468085,7.2,54.6153846153846,11,0,1
31,10314,40.59247,-74.158532,36.6,76849.0293351558,4,20,5,24,50,94,17,89,93,86,87,69,93,0,6.80100755667506,463,2.83,2.79,23.5833333333333,14.1,46.6101694915254,139,16,0
